Player	Team	Age	GP	W	L	Min	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	FP	DD2	TD3	Plus/Minus
Shai Gilgeous-Alexander	OKC	26	51	43	8	34	32.6	11.4	21.5	52.8	2	5.7	35.5	7.9	8.8	89.9	0.9	4.2	5.1	6	2.6	1.9	1	2.2	53.9	4	0	13.4
Giannis Antetokounmpo	MIL	30	41	23	18	34.9	31.8	12.7	20.9	60.8	0.1	0.8	18.8	6.2	10.7	57.7	2.3	9.9	12.2	5.9	3.4	0.8	1.3	2.4	58	37	5	3.5
Nikola Jokic	DEN	29	48	33	15	36	29.8	11.4	19.6	57.8	2.1	4.5	45.6	5.1	6.2	82.1	3	9.5	12.5	10.3	3.1	1.8	0.7	2.1	64.6	40	24	9.7
Tyrese Maxey	PHI	24	46	19	27	38	27.6	9.6	21.5	44.7	3.3	9.6	34.6	5	5.8	87.2	0.3	3.2	3.5	6.1	2.5	1.9	0.4	2.3	45.2	8	1	-1.2
Anthony Edwards	MIN	23	52	29	23	36.7	27.5	9.2	20.6	44.6	4.2	10	42.4	4.9	5.8	84.1	0.8	5	5.8	4.5	3.5	1.1	0.7	1.9	43.1	3	0	3.4
Luka Doncic	LAL	25	23	14	9	35.1	27.5	9.6	20.9	46	3.3	9.5	34.7	5	6.5	77.2	0.7	7.4	8.2	7.7	3.3	1.9	0.4	2.7	52.4	10	3	8
LaMelo Ball	CHA	23	33	12	21	32.7	27.3	9.5	22.8	41.6	4	11.9	33.8	4.3	5.3	82.2	0.9	4.2	5.1	7.2	3.6	1.3	0.3	3.3	45.6	9	0	-1.5
Kevin Durant	PHX	36	40	24	16	36.3	27.1	9.8	18.6	52.8	2.4	5.9	40.4	5.1	6.2	82.2	0.4	5.6	6	4.1	3	0.8	1.4	1.7	44.3	3	0	0.1
Jayson Tatum	BOS	26	51	36	15	36.4	26.9	9.1	20	45.4	3.6	10.1	36	5.2	6.4	80.2	0.6	8	8.6	5.5	2.8	1.2	0.5	2.2	47.9	22	1	7
Devin Booker	PHX	28	48	25	23	37.2	26.2	8.6	18.9	45.3	2.6	7.7	33.9	6.4	7.2	89.6	1	3.1	4	6.7	2.7	1	0.3	2.4	42.2	8	0	-1.1
Jalen Brunson	NYK	28	52	34	18	35	25.9	8.9	18.3	48.9	2.3	5.8	39.7	5.8	7	81.9	0.4	2.4	2.8	7.5	2.4	0.9	0.1	2.2	41.1	11	0	3.8
Damian Lillard	MIL	34	44	24	20	36.5	25.8	8	17.6	45.2	3.5	9.1	38.2	6.4	6.9	92.1	0.6	4.2	4.7	7.5	3	1.2	0.2	1.8	43.8	11	2	0.7
Anthony Davis	DAL	31	43	25	18	34.2	25.7	9.5	18	52.8	0.7	2.2	31.3	6	7.6	78.6	2.9	9.1	12	3.4	2.2	1.3	2.2	1.9	53.3	33	0	0.7
Franz Wagner	ORL	23	35	19	16	33.1	25.4	9.2	19.8	46.4	2.1	6.4	32	5	5.7	86.6	1	4.6	5.6	5	2.3	1.5	0.4	2.5	43	3	0	3.8
Cade Cunningham	DET	23	49	26	23	35.5	25.3	9.5	20.9	45.5	2.2	6.3	35.3	4.1	4.8	84.8	0.9	5.5	6.4	9.4	4.3	1	0.8	2.6	48	23	8	1.6
Joel Embiid	PHI	30	17	8	9	30.4	24.9	7.8	17.2	45.4	1.4	4.1	33.3	7.9	9.1	87	1.9	6.6	8.5	4.5	3.4	0.8	1	2.3	43.9	7	1	-1.8
Cam Thomas	BKN	23	19	8	11	32.3	24.7	7.9	17.7	44.8	2.8	7.6	37.5	5.9	6.8	87.6	0.5	3.1	3.6	3.4	2.7	0.7	0.1	1.9	33.7	0	0	-2.7
De'Aaron Fox	SAS	27	49	23	26	36.8	24.7	9.1	19.3	46.9	2	6.2	31.9	4.6	5.6	82.4	0.9	3.9	4.9	6.3	2.9	1.5	0.4	2.7	43	8	0	0.7
LeBron James	LAL	40	47	29	18	34.6	24.4	9.4	18.2	51.7	2.2	5.6	39.2	3.4	4.5	76.4	0.9	6.9	7.8	9	3.9	0.9	0.5	1.4	47.6	24	10	-0.6
Victor Wembanyama	SAS	21	45	21	24	33.1	24.4	8.9	18.7	47.7	3.1	8.8	35.5	3.5	4.2	83.4	1.8	9.2	11	3.6	3.3	1.2	3.9	2.2	54.8	27	1	2.4
Karl-Anthony Towns	NYK	29	48	33	15	34.6	24.3	8.8	16.5	53.3	2	4.6	42.6	4.8	5.7	84.3	3.1	10.3	13.5	3.3	2.5	1	0.8	3.5	48.4	40	0	6.6
Kyrie Irving	DAL	32	43	25	18	36.5	24.2	8.8	18.7	47.4	2.8	7	40.4	3.7	4.1	89.9	1.2	3.6	4.7	4.9	2.3	1.3	0.4	2	40.1	0	0	3.2
Donovan Mitchell	CLE	28	50	40	10	31.3	24	8.5	18.6	45.5	3.6	9.2	39.4	3.4	4.1	83.3	0.6	3.7	4.3	4.8	2	1.4	0.2	2	39.3	3	0	8.7
